,Movie Name,Rating
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.0
3,Schindler's List,9.0
4,12 Angry Men,9.0
5,The Lord of the Rings: The Return of the King,9.0
6,The Godfather Part II,9.0
7,Pulp Fiction,8.9
8,The Lord of the Rings: The Fellowship of the Ring,8.9
9,Inception,8.8
10,Fight Club,8.8
11,Forrest Gump,8.8
12,"The Good, the Bad and the Ugly",8.8
13,The Lord of the Rings: The Two Towers,8.8
14,12th Fail,8.8
15,Interstellar,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,One Flew Over the Cuckoo's Nest,8.7
19,Star Wars: Episode V - The Empire Strikes Back,8.7
20,Se7en,8.6
21,The Silence of the Lambs,8.6
22,The Green Mile,8.6
23,Saving Private Ryan,8.6
24,Terminator 2: Judgment Day,8.6
25,The Shawshank Redemption,9.3
26,The Godfather,9.2
27,The Dark Knight,9.0
28,Schindler's List,9.0
29,12 Angry Men,9.0
30,The Lord of the Rings: The Return of the King,9.0
31,The Godfather Part II,9.0
32,Pulp Fiction,8.9
33,The Lord of the Rings: The Fellowship of the Ring,8.9
34,Inception,8.8
35,Fight Club,8.8
36,Forrest Gump,8.8
37,"The Good, the Bad and the Ugly",8.8
38,The Lord of the Rings: The Two Towers,8.8
39,12th Fail,8.8
40,Interstellar,8.7
41,The Matrix,8.7
42,Goodfellas,8.7
43,One Flew Over the Cuckoo's Nest,8.7
44,Star Wars: Episode V - The Empire Strikes Back,8.7
45,Se7en,8.6
46,The Silence of the Lambs,8.6
47,The Green Mile,8.6
48,Saving Private Ryan,8.6
49,Terminator 2: Judgment Day,8.6
